query_id,user_query,language,intent,record_id,service_name,department,category,record_type,description,eligibility,benefits,documents_required,application_process,service_charge,apply_url,official_url
Q0011,இந்த First Graduate Certificate பற்றி தகவல் வேண்டும்,Tamil,information_request,REV-104,First Graduate Certificate,Revenue,Certificate,eSevai_service,,,,Not specified in the official sources reviewed,e-Sevai Centre,₹ 60,,https://tnesevai.tn.gov.in/Pages/EsevaiServiceList.aspx; https://www.tnesevai.tn.gov.in/Pages/UserManual.aspx
Q0024,Other Backward Class (OBC) Certificate ku eligibility enna?,Tanglish,eligibility_query,REV-115,Other Backward Class (OBC) Certificate,Revenue,Certificate,eSevai_service,,,,Photo; Proof of Marriage; Proof of Residence; Proof of Desertion or FIR Details; Self Declaration of Applicant,e-Sevai Centre,₹ 60,,https://tnesevai.tn.gov.in/Pages/EsevaiServiceList.aspx; https://www.tnesevai.tn.gov.in/citizen/Pages/FAQ.aspx
Q0030,What benefits are available under Residence Certificate?,English,benefit_query,REV-116,Residence Certificate,Revenue,Certificate,eSevai_service,,,,Not specified in the official sources reviewed,e-Sevai Centre,₹ 60,,https://tnesevai.tn.gov.in/Pages/EsevaiServiceList.aspx; https://www.tnesevai.tn.gov.in/Pages/UserManual.aspx
Q0032,Indira Gandhi National Old Age Pension Scheme (IGNOPS) epdi apply panradhu?,Tanglish,application_help,REV-201,Indira Gandhi National Old Age Pension Scheme (IGNOPS),Revenue,Welfare/Pension,eSevai_service,,,,Not specified in the official sources reviewed,e-Sevai Centre,₹ 10,,https://tnesevai.tn.gov.in/Pages/EsevaiServiceList.aspx
Q0044,Electricity Bill Payment ku eligibility enna?,Tanglish,eligibility_query,TEB-601,Electricity Bill Payment,TANGEDCO,Electricity,eSevai_service,,,,Not specified in the official sources reviewed,e-Sevai Centre,"₹15 up to ₹1,000; ₹25 for ₹1,001–₹3,000; ₹40 for ₹3,001–₹5,000; ₹50 for ₹5,001–₹10,000; ₹60 for ₹10,001 and above",,https://tnesevai.tn.gov.in/Pages/EsevaiServiceList.aspx
Q0050,What benefits are available under PDS Aadhaar Enrollment?,English,benefit_query,CSC-024,PDS Aadhaar Enrollment,TNEGA,PDS/Identity,eSevai_service,,,,Not specified in the official sources reviewed,e-Sevai Centre,₹ 15,,https://tnesevai.tn.gov.in/Pages/EsevaiServiceList.aspx
Q0052,Apply for New Card epdi apply panradhu?,Tanglish,application_help,PDS-501,Apply for New Card,Civil Supplies and Consumer Protection,PDS/Identity,eSevai_service,,,,Not specified in the official sources reviewed,e-Sevai Centre,₹ 60,,https://tnesevai.tn.gov.in/Pages/EsevaiServiceList.aspx
Q0059,Card Mutation ku eligibility enna?,Tanglish,eligibility_query,PDS-502,Card Mutation,Civil Supplies and Consumer Protection,PDS/Identity,eSevai_service,,,,Not specified in the official sources reviewed,e-Sevai Centre,₹ 60,,https://tnesevai.tn.gov.in/Pages/EsevaiServiceList.aspx
Q0064,Printing of Smart Card ku eligibility enna?,Tanglish,eligibility_query,PDS-504,Printing of Smart Card,Civil Supplies and Consumer Protection,PDS/Identity,eSevai_service,,,,Not specified in the official sources reviewed,e-Sevai Centre,₹ 60,,https://tnesevai.tn.gov.in/Pages/EsevaiServiceList.aspx
Q0066,இந்த CRS-Death Registration பற்றி தகவல் வேண்டும்,Tamil,information_request,DPH-101,CRS-Death Registration,Directorate of Public Health,Birth/Death Registration,eSevai_service,,,,Not specified in the official sources reviewed,e-Sevai Centre,₹ 100,,https://tnesevai.tn.gov.in/Pages/EsevaiServiceList.aspx; https://www.tnesevai.tn.gov.in/Pages/UserManual.aspx
